Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Africa,(Africa),GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..
Africa,(Africa),GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Africa,(Africa),GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..
Africa,(Africa),Rural population,SP.RUR.TOTL,..,..,..,..,..
Africa,(Africa),Rural population growth (annual %),SP.RUR.TOTL.ZG,..,..,..,..,..
Africa,(Africa),"Population, total",SP.POP.TOTL,..,..,..,..,..
Africa,(Africa),Urban population,SP.URB.TOTL,..,..,..,..,..
Africa,(Africa),Urban population growth (annual %),SP.URB.GROW,..,..,..,..,..
Africa,(Africa),Urban population (% of total population),SP.URB.TOTL.IN.ZS,..,..,..,..,..
Africa,(Africa),Rural population (% of total population),SP.RUR.TOTL.ZS,..,..,..,..,..
Africa,(Africa),"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,..,..,..,..,..
Africa,(Africa),"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,..,..,..,..,..
Africa,(Africa),Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,..,..,..,..,..
Africa,(Africa),"Population, male",SP.POP.TOTL.MA.IN,..,..,..,..,..
Africa,(Africa),"Population, female",SP.POP.TOTL.FE.IN,..,..,..,..,..
Africa,(Africa),"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,..,..
Africa,(Africa),"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..
Africa,(Africa),"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,..,..
Africa,(Africa),Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..
Africa,(Africa),Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..
Africa,(Africa),Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,..,..,..,..
Africa,(Africa),"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,..,..,..,..,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,12705350097.8044,18737895512.7378,45405615063.7551,70120446896.8359,100657505750.545
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,414.626365130846,523.456312433863,1091.51873101194,1489.11959777284,1927.66459027849
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.599695390807426,5.90666607980057,8.05847360290906,4.96772112759767,-0.272766327438816
Kenya,KEN,Rural population,SP.RUR.TOTL,24547406,28037596,31793369,35006552,37599091
Kenya,KEN,Rural population growth (annual %),SP.RUR.TOTL.ZG,2.58692261311456,2.60730537731136,2.39521207209022,1.6409309709701,1.28653198794238
Kenya,KEN,"Population, total",SP.POP.TOTL,30642890,35796484,41598567,47088526,52217334
Kenya,KEN,Urban population,SP.URB.TOTL,6095484,7758888,9805198,12081974,14618243
Kenya,KEN,Urban population growth (annual %),SP.URB.GROW,4.74718519800371,4.77054360924864,4.56137741525597,3.94487350039317,3.72051653733233
Kenya,KEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.892,21.675,23.571,25.658,27.995
Kenya,KEN,Rural population (% of total population),SP.RUR.TOTL.ZS,80.108,78.325,76.429,74.342,72.005
Kenya,KEN,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.3159232043714,50.2124258907663,50.1657725412939,50.1861727419542,50.2395172116508
Kenya,KEN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.6840767956286,49.7875741092338,49.8342274587062,49.8138272580458,49.7604827883492
Kenya,KEN,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,63.18451,..,55.45251,..,50.81331
Kenya,KEN,"Population, male",SP.POP.TOTL.MA.IN,15224637,17822201,20730324,23456597,25983597
Kenya,KEN,"Population, female",SP.POP.TOTL.FE.IN,15418253,17974283,20868243,23631929,26233737
Kenya,KEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.07984848923864,4.89964972058961,1.63919964802533,9.23865468396285,4.94885283291357
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.98002515350979,10.3127783574683,3.96138889115385,6.58215429284779,5.40516207933392
Kenya,KEN,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,13.81,..,..,..
Kenya,KEN,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,9.313,..,..,..
Kenya,KEN,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,9.094,..,..,..
